text,is_toxic
nostalgia budaya nos tala gia rindu kadang kadang lebih sangat jauh letak tidak sekarang kangen sama masa masa sekolah kangen sama lingkung sekolah yuk nostalgia masa sekolah pak,0
tetangga perawan tua lesbi nyinyir resek,1
buah reaksi kecewa kalang ulama habib rizieq instruksi henti membully kh sama ruf amin kalang ulama clear analisis hari ulama pecah diri di jalan benar,0
jangan bilang copras calon presiden selesai dulu jadi gubernur eh tau tau nya calon presiden janji belum tepat aaa dil balik ke solo 2019 ganti presiden,1
alhamdulillah allah subhanahu wa taala moga jakarta punya gubernur baru lebih sahaja sahabat semua aniessandi,0
umat agama islam di jakarta sangat haram sangat najis sekali ahok kafir kristen,1
oh iya biar manusia homo pas upacara,1
mungkin cuma waktu zaman super junior gue tidak tau kan tau sendiri akhir akhir orang indonesia bagaimana asal korea sedikit bilang kafir you know what i mean plastik habis insiden pol kemarin but kalau memang jalan baik alhamdulillah,0
wkwk masa burung kenari mau pakai buat dokumentasi burung hantu burung onta,0
wah wah temu luar biasa indikasi manipulasi suara luar biasa,0
nuser nuser tulis selalu sudut perintah ada ada kan isu tenaga kerja asing cina tidak tulis semenjak bukti kunjung polewali kalau belum waaah tiap hari itu itu tulis,0
pimpin salat kepala imam masjid sidoarjo pukul kapak moga murni tindak kriminal bukan kerja orang gila nih xe2 x80 xa6,0
besok minta bubar tentara nasional indonesia,1
katekismus gereja katolik tidak larang minum keras cara lantang budak minum keras beberapa ayat nyata anggur cara positif khotbah mazmur amos minum anggur hati senang,0
bro kitab suci fiksi bera i agama wahyu nyata surat pemberitahuan mutlak harfiah filosofis langgar umat agama konstitusi norma agama nista agama kotor ateis mati,1
pimpin indonesia aku harap ulama negarawan satu bangsa how about indonesia leader now,0
perintah provinsi gelar hater komplit cap kafir liberal komunis munafik dan lain lain kalau kuliah mesti berapa sks gelar banyak xf0 x9f x98 x80 lucu cap liberal komunis bareng otak mana otak xf0 x9f,1
bubar hati tangkap komisi berantas korupsi,1
nyinyir bani kampret apa belum,1
jilat sih jokowi munafik cebong diam,1
depan cermin bukan main elok buat pusing bagai cuba gambar noh hai cacat haha,0
semua klaim sama bani bong paling toleran paling pancasilais paling bineka paling aktivis paling islamis yaelah dasar tutup botol penyok xf0 x9f x98 x82,1
enak ngentot sayang,1
cebong pakai seragam biar tidak tahu eh makin lihat dungu,1
ujung kolam suruh saudara dorong eh dorong menang like gembel basah basah an bego,1
tidak provokasi sentimen jual sara mu cinta indonesia iklan ahok jahat,0
kamu bilang gue bangsat mata amblek otak pakai baca pelan lalu tafsir maksud gue apa ndasmu amoh bangsat xc2 xb2 orang lihat goblok mu belum pintar media sosial ngablak uniform resource locator,1
urus pilih pimpin urus kecil mustahil lebih 20 ayat al qur an perintah umat islam pilih pimpin kriteria khusus umat mesti sadar penting posisi pimpin tidak asal pilih agama bangsa,0
kenal awal pribadi perempuan pilih kepala daerah bondowoso,0
banding level nu lawan partai komunis indonesia muhammadiyah organisasi masyarakat ai banding ai partai demokrasi indonesia juang partai adil sejahtera demokrat,0
manusia belum,0
cermin pecah kaca,0
info warga badui selesai tradisi seba pendopo perintah kabupaten lebak be emu gubernur banten wahidin halim sabtu 21 4 seba baduy 2018 alam banten,0
asli intelligence quotient jongkok masak oposisi bangun mana xc2 xb2 tugas oposisi nyinyir perintah negara komunis enggak nyinyir,1
wanita makhluk unik dunia lembut sutra sepe i karang wanita butuh bimbing xe2 x80 xa6,0
warga jakarta lantik anies sandi libat lingkar saracen politic id,1
fakta 29 november 1947 pbb tuju mandat britania raya palestina resolusi pbb 181 dukung 33 negara 13 negara tolak 10 netral wilayah tanah palestina pecah belah 55 yahudi,0
timbal tenaga kerja asing min cepat cepat pulang tolong,0
hoaks saling ancam komisi berantas korupsi dewan wakil rakyat tangkap tangkap kalian orang dewan wakil rakyat tidak malu malu saling ancam bubar dewan wakil rakyat lebih baik,1
amin lenceng agama rejim kuasa kuasa allah,0
bu guru enak jadi jablay guru sekolah dasar sih kayak nikmat jadi pecun guru,1
bacot kamu jakarta,1
prediksi togel hongkong kamis 29 maret 2018 nangka main 9123 mistik 6058 nangka jaga 38 68 05 shio monyet,0
yuk datang acara launching kaji ekonomi syariat jakarta hari jumat 20 april 2018 pukul 12 45 14 00 ba jumat tema investasi pasar modal syariat halal haram narasumber ustad mahbub sama afi ram,0
ya tidur sih mark cher anjir najis,1
cebong tolol kayak kelontang lantung andal sebar hoaks fitnah nasi bungkus tolol lihat muka malu malu bong wkwk wkwk wkwk,1
bahas islam rusak nilai kuat karakter lalu revitalisasi didik nilai,1
dukung prabowo surat pemberitahuan arb sda orang orang bejat tabiat kasar masuk orang,1
anjing manusia homo satu cuma gonggong nya keras tidak punya mampu kamu belum angka awal anjing,1
huhu tiba tiba sama kim bum plot twist banget sumpah aku rela sama monyet benar biar monyet pindah on eh tau sama jangan jangan monyet tidak berani dekat tau punya,1
calon wakil gubernur khofifah emil dardak rupa sosok cerdas pintar khofifah emil jawa timur,0
ahok bebas ulama mungkin beri komando revolusi lengser jokowi sumber uniform resource locator,1
amin ya rabi,0
parfum tai ayam,1
apa tantang pernah hadap aku chat,0
terima kasih pak tahun tahun bagai wakil gubernur tahun bagai gubernur,0
hai guys ulas hari kunjung presiden jokowi siang 17 april 2018 bandara kertajati majalengka terima kasih jokowi 2019 tetap jokowi,0
sesat cari jalan pagi maktab gaya xf0 x9f x98 x82 jalan sho cut situ tutup konstruksi nya nih xf0 x9f x98 x82 xf0 x9f x98 x82 xf0 x9f x98 x82 xf0 x9f x98 x82 xf0 x9f x98 x82 xf0 x9f x98 x82 hambar gila turn turn xf0 x9f x98 x86 xf0 x9f x92 x94 uniform resource locator,0
nih ya gue cowok burung cewek cewek nada nada transgender indonesia nyanyi uniform resource locator,1
jangan tai ayam hangat,1
teki onta bang sombong,1
giat bhayangkara bina aman tertib masyarakat brigadir polisi manajemen bas sekolah sihombing rabu 11 april 2018 laksana sambang desa tatap muka pantau aman tertib masyarakat tuju pilih kepala daerah 2018 desa lobusiregar i rumah rudi panjaitan helm siahaan hotman siahaan,0
hati hati sakit onta gila pasu daster kampret kamu oi hijau dan terus kemarin rusuh rusuh markas komando brigade mobil siapa coba omong di depan mulut langsung buat bergedel,1
cina racist makanya jangan biar cina kuasa dominasi ri lihat cina singapura usir melayu kampung,1
chanyeol levanta bom,0
hidup hidup karya fiksi jalan laku dunia nyata segi hukum moral agama logika fiksi,0
atur sebut salah satu biar lapor satu agama lah tidak sebut singgung agama,0
suu kyi antek komunis sindir suu kyi dute e menang nobel damai,1
sadar bera i keliling tenaga kerja asing ya diam diam serang lemah lawan kerja ambil diam,0
rezim engah jujur bro kaya suara radio rusak pita belit xf0 x9f x98 x8e,0
panitia kerja panja pilih kepala daerah komisi ih dewan wakil rakyat ri laku kunjung kerja kota malang selasa kemari panja pilih kepala daerah tahu proses pilih kepala daerah kota malang news highlight source,0
bangkai apa mas,0
orang kafir hasil tuduh orang kafir laku kafir kasih tau umat laku kafir umat,0
hebat imam besar masjid istiqlal kalimat ahok 100 tidak nista agama sebar,0
video tenaga kerja asing buat malaysia kutip nyata,0
ridwan kamil kembang pesantren usaha rindu jawa barat juara 1 rindu jawa barat juara jawa barat juara rindu jawa barat juara nomor 1 pilih gubernur jawa barat 2018 ridwan kamil,0
omojy akun isi giveaway cocot,1
jend suha o 1965 nasib bangsa indonesia negara komunis ateis,1
niat tidur adik asyik main kontol gede koko main ngaceng enak kontol koko dek xe2 x80 xa6,1
lupa malam jum at habis pencar tuyul dong,0
bunda ngentot yuk,1
banci mahal langgan keren keren xf0 x9f x98 x83 uniform resource locator,1
pakai pantat haha pantat teriak pantat rocky gerung profesor laku indonesia tong percaya kaum kampret gembel warung internet otak pantat haha,1
buku lawas peran agama moral bangun masyarakat ekonomi indonesia syafruddin prawinegara tahun 1966 32 harga 150 000 minat,0
universitas negeri padjadjaran kritik prabowo jokowi blunder uniform resource locator,1
media pura pura bego ajak ajak bego orang nama bodoh parah,1
bilang komunis bilang antek amerika anut bumi datar kayak tonton televisi baca korea utara musuh us,1
soal budek kayak bolot om kuping nya kotor hati,1
tertawa apa tanya sama gue tai minta gampar,1
nama cari gampang aman dalang kendali hukum mati logika orang anggap teroris kelas xe2 x80 x9ckakap xe2 x80 x9d awas super ketat kendali bom deteksi,0
iya mas orang kristen kalau nyanyi jingle bel keren,0
sukses pilih kepala daerah hoaks galeri dinas komunikasi informatika kota metro kota metro news ayo dam ram,0
anjing bilang umpat kasar anjing salah hewan piara lucu gemas nek ra tai we pelihara,0
komisi berantas korupsi mimpi berantas korupsi orang sangka koruptor,1
partai demokrasi indonesia juang gencar serang komisi berantas korupsi bubar partai demokrasi indonesia juang dukung jokowi jokowi jokowi,1
orang islami bangun narasi tuju beda liberal sekuler munafik antek asing,0
sepe i konter tindak brutal anjing anjing front bela islam lawan masyarakat kuncup sepe i bu,1
tambah promosi nikah muda jangan kelit sok innocent deh semua tahu sejak dulu ajar meni siap masa ajar mau ganti gera nikah muda hindar zina please deh,1
kirim kampang butuh a i kampang gue kasih tau anak haram,1
arsenal huuuuuuuu cupu,1
bubar panitia khusus dewan wakil rakyat nya rakyat rugi bayar pajak gaji kerja nya sibuk,1
pacar gue 12 idiot,1
moga koalisi bijak calon wakil presiden damping play station pilih presiden 2019 saran ai koalisi tokoh jual milik nilai elektoral ayo legowo,0
gubernur jaman now anti hoaks bukan sebar isu tidak ganjar yasin menang ganjar yasin 1 kami ganjar yasin,0
sinyal cacat hilang hilang melulu memang kamu jauh lebih baik hem haha,1
baca tai,1
tengkar nih apa gue multi fandom benci sama fan terlalu bangga bangga idola wkwk bahkan gue benci sama beberapa carat notabene selalu pamer eh lah seventeen bla bla bla tai kucing north sumatera offshore kalau memang senyap,1
prabowo anak berontak,1
bukan negeri om kerja jongos cina doang kerja subuh malam gaji pas pas kayak cina,1
baca buku pikir guling rezim xf0 x9f x98 xa9,0
oke jadi barusan banget malam jumat aku workout kecil kecil di kamar belum tidur kan nah pas angkat angkat kaki tiba tiba aku dengar suara samar samar kayak tertawa doooong mampus tidak,0
kalian cocok kok sama sama bajing,1
raja ampat papua khusus barat banyak sekali orang malu jadi budaya bawa bangun sebar agama kristen papua tahu ikut pengaruh orang malu ambon dekat orang bel,0
orang indonesia kalau orang asing bicara bahasa indonesia sering heboh wajar sih bahas indonesia tidak kenal tidak bayang kalau orang inggris heboh tiap orang asing bahasa inggris,0
anies ombudsman wakil ombudsman republik indonesia ya ombudsman ri ombudsman wak xe2 x80 xa6,0
om jilat memek nya,1
he ok orang sinting hehe kup tau,1
human rights nih agenda yahudi halal haram islam patut tau allah rights hak allah jaga hak allah insyaallah semua pelihara,0
pendek paham tidak istilah baju muslim baju nasrani baju yahudi baju koko kalian sebut baju muslim pastor baju model koko apa gamis klasik abu jahal gam,0
mau gembos front bela islam nyata kualitas kaum belum memang cebong terlalu laknat fitnah sutradara kelas kotor gembel,1
diam kamu tai anaconda,1
susilo bambang yudhoyono genius politik susilo bambang yudhoyono kuat pengaruh guru agenda,1
a tenang suka telat,0
wkwk dasar cebong larang jabat anis wkwk,1
nama kayak asing nyata,0
waspada cina komunis indonesia,1
islam nusantara tolak sunni wahabisme salaf liberalisme pluralisme kerja yahudi as,0
onta begini tidak punya otak tidak pikir picik,1
lost respect sekian kali buat agency kamu bangga buat artis kamu bangga laku tai kucing xe2 x80 xa6,1
maksud 4 rezim ya,0
kalau pakai cara baik jamin tidak peduli bos jatuh cuma kayak first travel booming cuma laku korban tenggelam orang indonesia budek riak dulu baru erti,1
mau cek dna partai komunis indonesia kali maksud,0
asyik nih pesawat presiden,0
jangan jangan otak makelar jual aset negara apa maling aset negara xf0 x9f x91 x89user pertamina jual mau isi tenaga kerja asing tiongkok xe2 x9d x93 2019 ganti presiden nurl,1
gue suka suka kagum binatang kelas hiu ular buaya ba ba black sheep,0
alas gereja katolik tidak mudah sitir enak udel umat nsy ingat pernah buah gereja katolik flores kelompok umat usir gereja libat,0
bolot biar legenda,1
titit kamu ngaceng,0
berisik ya habis berisik berisik bacot tolol anjing manusia tau,1
anak partai komunis indonesia pro syiah antek asing diktator komunis bijak neoliberal waduh,1
survei pulau pulau pencil nabire papua lupa buaya muara situ gue harap allah jaga selamat xf0 x9f x99 x8f,0
bagus mungut suara sisih final tunggu deh,0
bisu bisu kalbu sepe i doa doa harap moga,0
lihat utama sisi promosi asi games baik media lokal maupun media media internasional belum gera kata presiden pimpin rapat batas bahas siap asi games istana bogor rabu 18,0
besok kalau prabowo calon presiden teriak teriak masalah timpang jangan percaya maki wartawan gaji kecil kok,1
benar prabowo pergi rohingya jangan kritik doang,1
lihat orang sulit tidak mau bantu lihat pas kamu susah tidak ada bantu mampus kamu tai,1
masuk teh daun jati cina xf0 x9f x91 x89 10 000 pack nhn orisinal double embos hn super xf0 x9f x91 x89 60 000 paket kecil,0
hem ganti presiden apa lanjut,0
jangan suka main data ekonomi tidak peristiwa ekonomi makro tiba tiba tanpa bijak belum,0
tolong blejeti nih pilot sontoloyo tolong klarifikasi,1
ih aku lebih pintar orang politik kaca dulu oi tampang kamu xc3 xa6k orang bego wkwk,1
rupiah haneul kayak tai kamu on retweet,1
jawa gereja kristen jawa gereja kristen jawa ajar sama bahasa jawa campur ajar kejawen budaya lokal baik baik tidak rugi rugi,0
agen harga tiket bus point of interest 2ramayana,0
strong dasar cebong dungu turun strong,1
kaum homo lesbian banci kalian bela atas nama ham orang wanita pakai cadar kalian cerca atas nama tol xe2 x80 xa6,1
teroris masuk surga instan laku bom bunuh jihad pikir hidup mudah,0
ih gila nirina bego banget,1
kalah kan kamu mampus,1
6 antisipasi stres tekan chat,0
indosiar elang mahkota teknologi grup gembel siar bola,1
orang jilat ludah bik malu hormat susilo bambang yudhoyono buzzer tolol,1
tyas mirasih pecun bareng agency nya,1
cina babi bikin rusak indonesia bantai,1
bro tolong goreng teori konspirasi islamofobia kafir yahudi asing asing liberal komunis lgbt,0
mental mobil kendara taktis kawal polisi sayang banget bis lempar molotov iya kayak jalan gatot subroto mental bikin nazar nikah monyet mental rusak stadion gelora karno aset negara proyek menteri wkwk,1
haha polisi mudah main cukong keparat tidak punya wibawa tampak lemah uji cukong sekali ikut uji nyali,1
12 laku jamu teh petang mahasiswa universitas pattimura tulis lalu datang universitas katolik indonesia malu ukim laku siap kuliah umum esok hari diplomasi publik,0
teriak teriak pancasila koar koar negara satu republik indonesia harga mati tolak film tidak 30 si partai komunis indonesia putar ulang situ bunglon apa antek komunis,1
sepakat argumen perintah jokowi kes fokus bangun infrastruktur samping sejahtera rakyat sendiri tenaga kerja asing banjir sektor sektor mesti isi warga negara indonesia rakyat anggur 2019 ganti presiden,1
tuhan pilih gubernur lari arab ya cong nelo bencong otak idiot hina banget hidup ya cong,1
lima kata untuk hari ini ahoker goblok tuntut lengser jokowi uniform resource locator,1
ibu kota jakarta byar pet terus woooui kunyuk listrik naik terus mutu ambrol terus,1
p e r gunung pelangi rainbow gunung warna bentuk bukit indah sepe i indonesia suku agama etnik bentuk indonesia beda saji indah harmoni bangsa b a a negara republik indonesia bangga,0
tidak usah debat sama kampret otak rendam kencing onta,1
kayak sih abu janda jadi event organizer acara deklarasi ulama muda kemarin sih faizal assegaf tindak jadi event organizer nya aksi aktivis 98 palsu besok besok mungkin deklarasi lgbt deklarasi cebong dukung mukidi dan terus kenyang,1
bubar ai politik,1
hore xc3 xa8e anjing ikut suka asing asing dasar munafik,1
jadi pusing sendiri kan gue anjing,0
aku orang pintar agama memang agama mana nista hujat orang jangan orang bodoh orang maaf sejak lahir idiot sekalipun harga bagai sama cipta tuhan ingat iblis pintar sangat licik,0
urus telur becus urus dasar cungkring peang 2 x,1
responden institute of southeast asi studies orang indonesia turun cina milik loyalitas hadap republik rakyat cina,1
radio republik indonesia banten siang ini komisi pemelihan umum pangkal pinang belum tetap pilih kepala daerah 2018,0
batal putus sikap syahrir ubah cegah tokoh ai tionghoa indonesia xe2 x80 x99 xe2 x80 x99 teguh,0
jangan tonton dengar lagu banci uniform resource locator cc,0
bubar komisi berantas korupsi tidak komisi berantas korupsi pakai alat politik perintah,1
kali saksi topeng monyet kampung iri kelompok topeng monyet sulap buah aksi siksa hadap ekor monyet tonton hibur warga uniform resource locator,0
kamu bajing rampok negara,1
amerika alami defisit cetak dolar jual dunia ongkos cetak 100 dolar 2 dolar,0
tidak aneh ustaz ajar non muslim ateis ajar eropa amerika australia memang tidak aneh lihat pastor ajar katolik india orang biksu,0
yakin anis menang gurun pasir banyak onta nya,1
ya allah untung indekos kak moga isi nya bom ya huhu ngeri xf0 x9f x98 xad xf0 x9f x98 xad,0
pimpin cerdas saleh teman kualitas 2019 ganti presiden,0
ayo jaga utuh negara satu republik indonesia tangkap nista agama stop kriminalisasi ulama,1
by the way cong kaum ahoker banyak yanh omong narsis pakai eyke2 etc segala dasar idiot makanya crosscheck jangan idiot maximum,1
nusantara bukan tidak peperangan sama sekali islam hindu buddha sunan giri kenal pusaka kala puyeng perang lawan majapahit,0
gubernur patuh lapor lapor harta kaya selenggara negara ganjar yasin 1 kami ganjar yasin,0
kristen nusantara contoh huria kristen batak protestan huria kristen batak protestan gereja kristen jawa gereja kristen jawa gereja pasundan gereja manado gereja malu gereja papua ciri khas sesuai tradisi suku,0
